filename,object,estimated_depth,true_depth
az_front_complex_artificial_close,hand_close,1.1318692,0.422,0.6592082977294922
az_front_complex_artificial_close,cup_far,1.3554697,1.212,0.6592082977294922
az_front_complex_artificial_close,clock,1.4378462,1.364,0.6592082977294922
az_front_complex_artificial_close,glass_close,1.3463839,1.12,0.6592082977294922
az_front_complex_artificial_close,plant,1.3538972,1.223,0.6592082977294922
az_front_complex_artificial_close,glass_far,1.358898,1.135,0.6592082977294922
az_front_complex_artificial_close,bottle,1.4554439,1.241,0.6592082977294922
az_front_complex_artificial_close,cup_close,1.3077288,1.119,0.6592082977294922
az_front_complex_artificial_close,bowl_close,1.3690842,1.141,0.6592082977294922
az_front_complex_artificial_close,bowl_far,1.4631586,1.259,0.6592082977294922
az_front_complex_artificial_close,hand_close,1.0664071,0.422,0.356065034866333
az_front_complex_artificial_close,cup_far,1.2028437,1.212,0.356065034866333
az_front_complex_artificial_close,clock,1.2662116,1.364,0.356065034866333
az_front_complex_artificial_close,glass_close,1.2045615,1.12,0.356065034866333
az_front_complex_artificial_close,plant,1.2768264,1.223,0.356065034866333
az_front_complex_artificial_close,glass_far,1.2086616,1.135,0.356065034866333
az_front_complex_artificial_close,bottle,1.2960303,1.241,0.356065034866333
az_front_complex_artificial_close,cup_close,1.1668396,1.119,0.356065034866333
az_front_complex_artificial_close,bowl_close,1.2352546,1.141,0.356065034866333
az_front_complex_artificial_close,bowl_far,1.3818477,1.259,0.356065034866333
az_front_complex_artificial_close,hand_close,1.2904625,0.422,0.35352087020874023
az_front_complex_artificial_close,cup_far,1.6540538,1.212,0.35352087020874023
az_front_complex_artificial_close,clock,1.6701407,1.364,0.35352087020874023
az_front_complex_artificial_close,glass_close,1.7045317,1.12,0.35352087020874023
az_front_complex_artificial_close,plant,1.7854251,1.223,0.35352087020874023
az_front_complex_artificial_close,glass_far,1.7186153,1.135,0.35352087020874023
az_front_complex_artificial_close,bottle,1.7440956,1.241,0.35352087020874023
az_front_complex_artificial_close,cup_close,1.6026355,1.119,0.35352087020874023
az_front_complex_artificial_close,bowl_close,1.641664,1.141,0.35352087020874023
az_front_complex_artificial_close,bowl_far,1.8677987,1.259,0.35352087020874023
