filename,object,estimated_depth,true_depth
az_front_complex_artificial_close,hand_close,1.7035031,0.422,1.547412395477295
az_front_complex_artificial_close,cup_far,2.677143,1.212,1.547412395477295
az_front_complex_artificial_close,clock,3.3360362,1.364,1.547412395477295
az_front_complex_artificial_close,glass_close,2.9383357,1.12,1.547412395477295
az_front_complex_artificial_close,plant,2.5895143,1.223,1.547412395477295
az_front_complex_artificial_close,glass_far,2.839464,1.135,1.547412395477295
az_front_complex_artificial_close,bottle,3.129797,1.241,1.547412395477295
az_front_complex_artificial_close,cup_close,2.5133688,1.119,1.547412395477295
az_front_complex_artificial_close,bowl_close,2.8288362,1.141,1.547412395477295
az_front_complex_artificial_close,bowl_far,3.191227,1.259,1.547412395477295
az_front_complex_artificial_close,hand_close,1.686168,0.422,1.0327792167663574
az_front_complex_artificial_close,cup_far,2.625202,1.212,1.0327792167663574
az_front_complex_artificial_close,clock,2.9904277,1.364,1.0327792167663574
az_front_complex_artificial_close,glass_close,2.8985684,1.12,1.0327792167663574
az_front_complex_artificial_close,plant,2.658605,1.223,1.0327792167663574
az_front_complex_artificial_close,glass_far,2.751446,1.135,1.0327792167663574
az_front_complex_artificial_close,bottle,2.8436606,1.241,1.0327792167663574
az_front_complex_artificial_close,cup_close,2.4295185,1.119,1.0327792167663574
az_front_complex_artificial_close,bowl_close,2.8319073,1.141,1.0327792167663574
az_front_complex_artificial_close,bowl_far,3.4762776,1.259,1.0327792167663574
az_front_complex_artificial_close,hand_close,2.3508444,0.422,1.0325636863708496
az_front_complex_artificial_close,cup_far,2.849397,1.212,1.0325636863708496
az_front_complex_artificial_close,clock,2.7496233,1.364,1.0325636863708496
az_front_complex_artificial_close,glass_close,3.1089015,1.12,1.0325636863708496
az_front_complex_artificial_close,plant,2.5977578,1.223,1.0325636863708496
az_front_complex_artificial_close,glass_far,3.0675535,1.135,1.0325636863708496
az_front_complex_artificial_close,bottle,2.5965695,1.241,1.0325636863708496
az_front_complex_artificial_close,cup_close,2.725196,1.119,1.0325636863708496
az_front_complex_artificial_close,bowl_close,2.8762438,1.141,1.0325636863708496
az_front_complex_artificial_close,bowl_far,3.2703776,1.259,1.0325636863708496
az_front_complex_artificial_far,bowl_far,3.3571982,1.259,1.0516266822814941
az_front_complex_artificial_far,hand_far,2.883282,1.039,1.0516266822814941
az_front_complex_artificial_far,cup_far,2.9180532,1.212,1.0516266822814941
az_front_complex_artificial_far,glass_far,2.9382913,1.135,1.0516266822814941
az_front_complex_artificial_far,clock,2.9171412,1.364,1.0516266822814941
az_front_complex_artificial_far,glass_close,3.2625637,1.12,1.0516266822814941
az_front_complex_artificial_far,cup_close,2.8358161,1.119,1.0516266822814941
az_front_complex_artificial_far,plant,2.5963457,1.223,1.0516266822814941
az_front_complex_artificial_far,bowl_close,2.9526427,1.141,1.0516266822814941
az_front_complex_artificial_far,bottle,2.592051,1.241,1.0516266822814941
az_front_complex_artificial_far,bowl_far,3.4000995,1.259,1.038839340209961
az_front_complex_artificial_far,hand_far,2.8479047,1.039,1.038839340209961
az_front_complex_artificial_far,cup_far,2.7515578,1.212,1.038839340209961
az_front_complex_artificial_far,glass_far,3.1991253,1.135,1.038839340209961
az_front_complex_artificial_far,clock,3.3975108,1.364,1.038839340209961
az_front_complex_artificial_far,glass_close,3.0758822,1.12,1.038839340209961
az_front_complex_artificial_far,cup_close,2.554005,1.119,1.038839340209961
az_front_complex_artificial_far,plant,2.8501492,1.223,1.038839340209961
az_front_complex_artificial_far,bowl_close,2.9035153,1.141,1.038839340209961
az_front_complex_artificial_far,bottle,3.224351,1.241,1.038839340209961
