filename,object,estimated_depth,true_depth
az_front_complex_artificial_close,hand_close,0.8595457,0.422,0.4313960075378418
az_front_complex_artificial_close,cup_far,1.2130548,1.212,0.4313960075378418
az_front_complex_artificial_close,clock,1.3053446,1.364,0.4313960075378418
az_front_complex_artificial_close,glass_close,1.3639523,1.12,0.4313960075378418
az_front_complex_artificial_close,plant,1.1584591,1.223,0.4313960075378418
az_front_complex_artificial_close,glass_far,1.27618,1.135,0.4313960075378418
az_front_complex_artificial_close,bottle,1.3926504,1.241,0.4313960075378418
az_front_complex_artificial_close,cup_close,1.2013011,1.119,0.4313960075378418
az_front_complex_artificial_close,bowl_close,1.3606403,1.141,0.4313960075378418
az_front_complex_artificial_close,bowl_far,1.3488669,1.259,0.4313960075378418
az_front_complex_artificial_close,hand_close,0.82535595,0.422,0.15209603309631348
az_front_complex_artificial_close,cup_far,1.0076421,1.212,0.15209603309631348
az_front_complex_artificial_close,clock,1.2155993,1.364,0.15209603309631348
az_front_complex_artificial_close,glass_close,1.1213286,1.12,0.15209603309631348
az_front_complex_artificial_close,plant,1.0435469,1.223,0.15209603309631348
az_front_complex_artificial_close,glass_far,1.0678123,1.135,0.15209603309631348
az_front_complex_artificial_close,bottle,1.1921592,1.241,0.15209603309631348
az_front_complex_artificial_close,cup_close,1.0232927,1.119,0.15209603309631348
az_front_complex_artificial_close,bowl_close,1.1226137,1.141,0.15209603309631348
az_front_complex_artificial_close,bowl_far,1.1429206,1.259,0.15209603309631348
az_front_complex_artificial_close,hand_close,1.2918763,0.422,0.15397024154663086
az_front_complex_artificial_close,cup_far,1.445676,1.212,0.15397024154663086
az_front_complex_artificial_close,clock,1.5816747,1.364,0.15397024154663086
az_front_complex_artificial_close,glass_close,1.5598336,1.12,0.15397024154663086
az_front_complex_artificial_close,plant,1.3872613,1.223,0.15397024154663086
az_front_complex_artificial_close,glass_far,1.4800496,1.135,0.15397024154663086
az_front_complex_artificial_close,bottle,1.3771621,1.241,0.15397024154663086
az_front_complex_artificial_close,cup_close,1.4530011,1.119,0.15397024154663086
az_front_complex_artificial_close,bowl_close,1.4572736,1.141,0.15397024154663086
az_front_complex_artificial_close,bowl_far,1.59058,1.259,0.15397024154663086
az_front_complex_artificial_far,bowl_far,1.589937,1.259,0.14785170555114746
az_front_complex_artificial_far,hand_far,1.2961977,1.039,0.14785170555114746
az_front_complex_artificial_far,cup_far,1.4814775,1.212,0.14785170555114746
az_front_complex_artificial_far,glass_far,1.4111929,1.135,0.14785170555114746
az_front_complex_artificial_far,clock,1.6239853,1.364,0.14785170555114746
az_front_complex_artificial_far,glass_close,1.5957484,1.12,0.14785170555114746
az_front_complex_artificial_far,cup_close,1.4901745,1.119,0.14785170555114746
az_front_complex_artificial_far,plant,1.1471903,1.223,0.14785170555114746
az_front_complex_artificial_far,bowl_close,1.521189,1.141,0.14785170555114746
az_front_complex_artificial_far,bottle,1.2674817,1.241,0.14785170555114746
az_front_complex_artificial_far,bowl_far,1.3751315,1.259,0.15407729148864746
az_front_complex_artificial_far,hand_far,1.3562347,1.039,0.15407729148864746
az_front_complex_artificial_far,cup_far,1.392413,1.212,0.15407729148864746
az_front_complex_artificial_far,glass_far,1.3146446,1.135,0.15407729148864746
az_front_complex_artificial_far,clock,1.4645534,1.364,0.15407729148864746
az_front_complex_artificial_far,glass_close,1.3981928,1.12,0.15407729148864746
az_front_complex_artificial_far,cup_close,1.3969127,1.119,0.15407729148864746
az_front_complex_artificial_far,plant,1.2658278,1.223,0.15407729148864746
az_front_complex_artificial_far,bowl_close,1.4634216,1.141,0.15407729148864746
az_front_complex_artificial_far,bottle,1.4155343,1.241,0.15407729148864746
az_front_complex_artificial_far,bowl_far,1.7000083,1.259,0.15321111679077148
az_front_complex_artificial_far,hand_far,1.5390112,1.039,0.15321111679077148
az_front_complex_artificial_far,cup_far,1.6543555,1.212,0.15321111679077148
az_front_complex_artificial_far,glass_far,1.5399708,1.135,0.15321111679077148
az_front_complex_artificial_far,clock,1.9391494,1.364,0.15321111679077148
az_front_complex_artificial_far,glass_close,1.7153671,1.12,0.15321111679077148
az_front_complex_artificial_far,cup_close,1.6196321,1.119,0.15321111679077148
az_front_complex_artificial_far,plant,1.6557071,1.223,0.15321111679077148
az_front_complex_artificial_far,bowl_close,1.7448651,1.141,0.15321111679077148
az_front_complex_artificial_far,bottle,1.8018912,1.241,0.15321111679077148
az_front_complex_artificial_frame,bowl_far,1.1519154,1.259,0.1625196933746338
az_front_complex_artificial_frame,cup_far,1.1924564,1.212,0.1625196933746338
az_front_complex_artificial_frame,glass_close,1.1583989,1.12,0.1625196933746338
az_front_complex_artificial_frame,clock,1.2076167,1.364,0.1625196933746338
az_front_complex_artificial_frame,plant,1.1098056,1.223,0.1625196933746338
az_front_complex_artificial_frame,bowl_close,1.1485628,1.141,0.1625196933746338
az_front_complex_artificial_frame,glass_far,1.1170744,1.135,0.1625196933746338
az_front_complex_artificial_frame,bottle,1.122571,1.241,0.1625196933746338
az_front_complex_artificial_frame,cup_close,1.1666458,1.119,0.1625196933746338
